input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score,,,,,,,,,,
"summarize: def prepend_child(self, name):
        """"""""""""
        return XMLElement(lib.lsl_prepend_child(self.e, str.encode(name)))",Prepend a child element with the specified name.,Finds a child of the specified name.,Returns the name and assignment in the child children.,55.67218745,38.62648488,47.14933617,,,,,,,,,
"summarize: def get_builds(self, job_name):
        """""" """"""

        if self.blacklist_jobs and job_name in self.blacklist_jobs:
            logger.warning(""Not getting blacklisted job: %s"", job_name)
            return

        payload = {'depth': self.detail_depth}
        url_build = urijoin(self.base_url, ""job"", job_name, ""api"", ""json"")

        response = self.fetch(url_build, payload=payload)
        return response.text",Retrieve all builds from a job,Retrieve the jobs from the job.,() Retrieves a job to the jobs.,52.55188958,41.50039785,47.02614372,,,,,,,,,
"summarize: def maybe_broadcast_structure(from_structure: Any, to_structure: Any) -> Any:
  """"""
  """"""
  flat_from = tf.nest.flatten(from_structure)
  flat_to = tf.nest.flatten(to_structure)
  if len(flat_from) == 1:
    flat_from *= len(flat_to)
  return tf.nest.pack_sequence_as(to_structure, flat_from)",Maybe broadcasts `from_structure` to `to_structure`.,Returns the ``to_structure`` from any structure.,Method to maybe input values of `to_structure`,51.2448052,42.71958908,46.98219714,,,,,,,,,
"summarize: def create_database(self, instance, body, project_id=None):
        """"""
        
        """"""
        response = self.get_conn().databases().insert(
            project=project_id,
            instance=instance,
            body=body
        ).execute(num_retries=self.num_retries)
        operation_name = response[""name""]
        self._wait_for_operation_to_complete(project_id=project_id,
                                             operation_name=operation_name)",Creates a new database inside a Cloud SQL instance.,Creates a new database for a given instance.,return self._create_database(self._create_database_by_id(instance)) Creates a database.,64.55559135,29.37995078,46.96777107,,,,,,,,,
"summarize: def drop_exons(self, build=None):
        """"""""""""
        if build:
            LOG.info(""Dropping the exons collection, build %s"", build)
            self.exon_collection.delete_many({'build': build})
        else:
            LOG.info(""Dropping the exons collection"")
            self.exon_collection.drop()",Delete the exons collection,Drop the exons collection.,self.exon_collection.delete_many(build) self.exon_collection.delete_many(build) return self.exon_collection Get the exons an exons.,77.43779053,16.39802119,46.91790586,,,,,,,,,
"summarize: def name(dtype):
  """"""""""""
  dtype = tf.as_dtype(dtype)
  if hasattr(dtype, 'name'):
    return dtype.name
  if hasattr(dtype, '__name__'):
    return dtype.__name__
  return str(dtype)",Returns the string name for this `dtype`.,Returns the name of an array name for the given dtype.,Return the name of a single dtype object.,48.46062586,45.12758783,46.79410685,,,,,,,,,
"summarize: def group_delay(wave):
    
    """"""
    ret = -derivative(phase(wave, unwrap=True) / (2 * math.pi))
    ret.dep_name = ""group_delay({0})"".format(wave.dep_name)
    ret.dep_units = ""sec""
    return ret","r""""""  Return the group delay of a waveform.",Returns the delay on a group.,Get a grouping delay of the groups.,45.87126292,47.7130244,46.79214366,,,,,,,,,
"summarize: def get_unique_backends():
    """"""
    """"""
    backends = IBMQ.backends()
    unique_hardware_backends = []
    unique_names = []
    for back in backends:
        if back.name() not in unique_names and not back.configuration().simulator:
            unique_hardware_backends.append(back)
            unique_names.append(back.name())
    if not unique_hardware_backends:
        raise QiskitError('No backends available.')
    return unique_hardware_backends",Gets the unique backends that are available.,Get the list of unique hardware backends.,Gets the backends from an OBMQ.,54.187438,39.3368613,46.76214965,,,,,,,,,
"summarize: def _parse_validators(valids):
    """"""
    """"""

    outvals = []

    for val in valids:
        if isinstance(val, str):
            args = []
        elif len(val) > 1:
            args = val[1:]
            val = val[0]
        else:
            raise ValidationError(""You must pass either an n-tuple or a string to define a validator"", validator=val)

        name = ""validate_%s"" % str(val)
        outvals.append((name, args))

    return outvals","Parse a list of validator names or n-tuples, checking for errors.",Parse a list of validators for a single validator.,Return a list of integer values in a validator for the validator.,48.37941105,45.00268574,46.6910484,,,,,,,,,
"summarize: def _check_arg_equality(node_a, node_b, attr_name):
    """"""
    
    """"""
    return getattr(node_a, attr_name) == getattr(node_b, attr_name)",Check equality of nodes based on the comparison of their attributes named attr_name.,Returns the location of the equality of the node based on the node based on the node attr.,or attr_name in node_b.keys() Returns the equality equality equality of the given node_name.,49.62710958,43.69394308,46.66052633,,,,,,,,,
"summarize: def get_setting(connection, key):
    """"""""""""
    if key in connection.settings_dict:
        return connection.settings_dict[key]
    else:
        return getattr(settings, key)",Get key from connection or default to settings.,Gets a setting from the connection.,Return a setting setting connection object.,48.41038549,44.8200553,46.6152204,,,,,,,,,
"summarize: def _default_handlers(self):
        """"""  """"""
        static_path = os.path.abspath(os.path.join(os.path.dirname(__file__),""static""))
        urls = [
            (r""/static/(.*)"", cyclone.web.StaticFileHandler, {""path"": static_path}),
        ]
        for p in self.pages:
            handler = p.handler
            handler.site = self
            handler.page = p
            urls.append((p.link.url,handler))
        return urls",Generate the handlers for this site,Returns the handlers for the given scope.,Execute a handler for a single urls.,54.73684057,38.4190683,46.57795444,,,,,,,,,
"summarize: def _get_string_selection(self):
        """"
        if self.multiselect:
            return [self.wx_obj.GetString(i) for i in 
                    self.wx_obj.GetSelections()]
        else:
            return self.wx_obj.GetStringSelection()",Returns the label of the selected item or an empty string if none,Returns the specified selection of the given string.,Returns the string selection of the index.,48.95342528,44.16819774,46.56081151,,,,,,,,,
"summarize: def retrieve_connection(self, session=None):
        """"""
        
        """"""
        self.log.info(""Retrieving connection %s"", self.db_conn_id)
        connections = session.query(Connection).filter(
            Connection.conn_id == self.db_conn_id)
        if connections.count():
            return connections[0]
        return None",Retrieves the dynamically created connection from the Connection table.,We assume a connection for the session and connections to session.,Retrieves the connections of the specified connection.,42.00531074,50.80889845,46.4071046,,,,,,,,,
"summarize: def is_seq_of(seq, expected_type, seq_type=None):
    """"""
    """"""
    if seq_type is None:
        exp_seq_type = collections_abc.Sequence
    else:
        assert isinstance(seq_type, type)
        exp_seq_type = seq_type
    if not isinstance(seq, exp_seq_type):
        return False
    for item in seq:
        if not isinstance(item, expected_type):
            return False
    return True",Check whether it is a sequence of some type.,Returns the seq for a sequence of a seq type,Returns True if seq is a sequence of a valid key.,49.91837059,42.84539111,46.38188085,,,,,,,,,
"summarize: def get_parent(self, path):
        '''
        '''

        self.__validate_storage_path(path, projects_allowed=False)
        path_steps = [step for step in path.split('/') if step]
        del path_steps[-1]
        parent_path = '/{0}'.format('/'.join(path_steps))
        return self.api_client.get_entity_by_query(path=parent_path)",Get the parent entity of the entity pointed by the given path.,Get the parent folder for the given path.,Get the parent path steps from the given path.,44.26998203,48.40013979,46.33506091,,,,,,,,,
"summarize: def endswith(string):
    """"""""""""
    def ends_with(value):
        validate(text, value)
        if not value.endswith(string):
            raise ValueError(""'{0}' does not end with '{1}'"".format(value, string))
        return True

    return ends_with",Checks if the string value ends with another string.,(string) Returns the ends with the values of the ``string``.,"(string, string) Return an ending end of an end of the string.",53.13255647,39.39775099,46.26515373,,,,,,,,,
"summarize: def explained_variance(self):
        """"""
        """"""
        self.tree.root._v=0
        for n in self.tree.get_nonterminals(order='preorder'):
            for c in n:
                c._v = n._v + self.branch_value(c)
        raw = np.array([(self.tip_value(n), n._v) for n in self.tree.get_terminals()
                         if self.tip_value(n) is not None])
        return np.corrcoef(raw.T)[0,1]",calculate standard explained variance,Multiply the explained variance,Explains variance on any tree.,54.20961476,38.20663441,46.20812459,,,,,,,,,
"summarize: def get_decimal_quantum(precision):
    """"""""""""
    assert isinstance(precision, (int, decimal.Decimal))
    return decimal.Decimal(10) ** (-precision)","Return minimal quantum of a number, as defined by precision.",Returns decimal quantum indicators of the `precision`.,"/ (1, 1.0) Returns a decimal number of decimal number of recisions.",50.76601269,41.36475976,46.06538623,,,,,,,,,
"summarize: def _find_inner_most_loop(self, loop_nest):
        """"""""""""
        r = None
        for s in loop_nest:
            if type(s) is c_ast.For:
                return self._find_inner_most_loop(s) or s
            else:
                r = r or self._find_inner_most_loop(s)
        return r",Return inner most for loop in loop nest,Returns the inner loop on a finished loop.,Returns the inner_most_loop for the permission.,50.72915195,41.3925803,46.06086613,,,,,,,,,
"summarize: def _get_imports(self):
    """"""""""""
    import_directives = [d for d in self.directives if d.name == ""import""]
    if import_directives:
      return ""\n"" + ""\n"".join(d.args[""value""] for d in import_directives)
    else:
      return """"",Reads the directives and generates source code for custom imports.,Returns a list of imports in an import to the directives.,Return the directives for the imports and private keys.,41.54704505,50.39179903,45.96942204,,,,,,,,,
"summarize: def path(self):
        """"""
        
        """"""
        if self._parent:
            return os.path.join(self._parent.path, self._fpath)
        else:
            return self._fpath",Get the path to the file relative to its parent.,Returns the path of the path of the parent root,Get the path of the parent directory.,45.5186186,46.37376096,45.94618978,,,,,,,,,
"summarize: def _get_names_part(self, part):
        """"""

        """"""
        try:
            the_list = getattr(self.vcard.n.value, part)
        except AttributeError:
            return []
        else:
            # check if list only contains empty strings
            if not ''.join(the_list):
                return []
        return the_list if isinstance(the_list, list) else [the_list]","Get some part of the ""N"" entry in the vCard as a list",Returns the list of the list of fields in the given part,Return a list of parts in the list of the lists.,43.89262964,47.80140086,45.84701525,,,,,,,,,
"summarize: def get_conn(self):
        """"""
        
        """"""
        conn_config = self._get_conn_params()
        conn = snowflake.connector.connect(**conn_config)
        return conn",Returns a snowflake.connection object,Returns a GET Connection to the conn,Returns the conn for the ForegroundConnection,53.13885548,38.32081683,45.72983616,,,,,,,,,
"summarize: def find_overlaps(self, index=False):
        """"""
        
        """"""
        return self.__find_incongruities(op=operator.gt, index=index)",Find overlaps in a striplog.,Find index of overlaps,Find the overlaps of the index.,45.38584865,46.07059624,45.72822245,,,,,,,,,
"summarize: def add_section(self):
        """"""""""""
        sect = CodeBuilder(self.indent_amount)
        self.code.append(sect)
        return sect","Add a section, a sub-CodeBuilder.",Add a section to the given section,Add a section builder.,40.03735474,51.13663745,45.5869961,,,,,,,,,
"summarize: def list_topics(self, name):
        '''
        
        '''
        response = self._perform_get(
            self._get_list_topics_path(name),
            None)

        return _MinidomXmlToObject.convert_response_to_feeds(
            response,
            partial(
                _MinidomXmlToObject.convert_xml_to_azure_object,
                azure_type=TopicDescription
            )
        )",Retrieves the topics in the service namespace.,Creates the topics of the specified names,Gets a list of topics given to the given name.,52.72840107,38.21625701,45.47232904,,,,,,,,,
"summarize: def get(self, url, params=None, **kwargs):
        """""" 
        """"""
        return self.call_api(
            ""GET"",
            url,
            params=params,
            **kwargs
        )",Call the API with a GET request.,Get a URL to the GET request,Return a request by a url with a url.,50.13561854,40.63105884,45.38333869,,,,,,,,,
"summarize: def find_magic(self, magic_name, magic_kind='line'):
        """"""""""""
        return self.magics_manager.magics[magic_kind].get(magic_name)",Find and return a magic of the given type by name.,Returns a message on the magic name.,Returns a float magic instance of the given magic.,39.35713918,51.20073154,45.27893536,,,,,,,,,
"summarize: def register_post_execute(self, func):
        """"""
        """"""
        if not callable(func):
            raise ValueError('argument %s must be callable' % func)
        self._post_execute[func] = True",Register a function for calling after code execution.,return self._post_execute[func] Registers a function.,return func Register a function with the MAX IDs.,46.8991402,43.43902039,45.1690803,,,,,,,,,
"summarize: def get_messages(user):
    """"""
    
    """"""
    key = _user_key(user)
    result = cache.get(key)
    if result:
        cache.delete(key)
        return result
    return None",Fetch messages for given user. Returns None if no such message exists.,Returns a list of messages for the given user.,Get the messages for the messages of the given user.,43.610729,46.70695435,45.15884168,,,,,,,,,
"summarize: def list_service_level_objectives(self, server_name):
        '''
        
        '''
        _validate_not_none('server_name', server_name)
        response = self._perform_get(
            self._get_service_objectives_path(server_name), None)
        return _MinidomXmlToObject.parse_service_resources_response(
            response, ServiceObjective)",Gets the service level objectives for an Azure SQL Database server.,Returns the service levels for the given service level.,Gets the service levels representing an an service.,45.82128097,44.38933737,45.10530917,,,,,,,,,
"summarize: def get_context_data(self, **kwargs):
        """"""
        

        """"""
        ctx = super(RenderWidgetMixin, self).get_context_data(**kwargs)
        ctx.update({
            'is_rendered': True,
            'widget': self.widget,
        })
        ctx.update(self.widget.get_context_data())
        return ctx",Adds ``is_rendered`` to the context and the widget's context data.,.get_context_data() Returns the context data for the given context and returns it,.update(ctx) Get the context data from the context data.,44.74492813,45.22829954,44.98661384,,,,,,,,,
"summarize: def _update_run_information(self, run_information_dict):
        """"""""""""
        idx = run_information_dict['idx']
        name = run_information_dict['name']
        self._run_information[name] = run_information_dict
        self._updated_run_information.add(idx)",Overwrites the run information of a particular run,return idx Updates the run information.,return idx Returns the run information from the run information.,48.17065907,41.72054585,44.94560246,,,,,,,,,
"summarize: def _get_local_files(self, path):
        """"""""""""
        if not path:
            raise ValueError(""No path specified"")
        files = defaultdict(lambda: None)
        path_len = len(path) + 1
        for root, dirs, filenames in os.walk(path):
            for name in filenames:
                full_path = join(root, name)
                files[full_path[path_len:]] = compute_md5(full_path) 
        return files",Returns a dictionary of all the files under a path.,Returns a list of files within the given filenames.,Returns the files of the compute path.,44.24400883,45.35416197,44.7990854,,,,,,,,,
"summarize: def trainable_positive_deterministic(shape, min_loc=1e-3, name=None):
  """"""""""""
  with tf.compat.v1.variable_scope(
      None, default_name=""trainable_positive_deterministic""):
    unconstrained_loc = tf.compat.v1.get_variable(""unconstrained_loc"", shape)
    loc = tf.maximum(tf.nn.softplus(unconstrained_loc), min_loc)
    rv = ed.Deterministic(loc=loc, name=name)
    return rv",Learnable Deterministic distribution over positive reals.,Get the deterministic for positive_deterministic for a given name.,Returns a training positive distribution of this class.,40.80186866,48.71977756,44.76082311,,,,,,,,,
"summarize: def get_game_dir(self, username=False):
        """"""""""""
        if not self.common and not username:
            raise RuntimeError(""Can't determine this game's directory without username"")
        if self.common:
            subdir = ""common""
        else:
            subdir = ""username""
        subsubdir = self.dir
        if WIN32 or CYGWIN:
            subsubdir = subsubdir.lower()
        return os.path.join(subdir, subsubdir)",Returns joined game directory path relative to Steamapps,Returns a file name for a game directory for a game directory.,Returns game directory directory if the game is valid.,42.11539652,47.37863388,44.7470152,,,,,,,,,
"summarize: def is_running(self):
        """"""
        
        """"""
        try:
            if h2o.connection().local_server and not h2o.connection().local_server.is_running(): return False
            h2o.api(""GET /"")
            return True
        except (H2OConnectionError, H2OServerError):
            return False",Determine if the H2O cluster is running or not.,return True Determine if a home port is running.,Returns True if the server is not provided.,52.15741672,37.11186999,44.63464336,,,,,,,,,
"summarize: def lastActivity(self):
        """"""""""""
        last_activity = self._json_data.get('lastActivity')
        if last_activity:
            return WebexTeamsDateTime.strptime(last_activity)
        else:
            return None",The date and time of the person's last activity.,Get the lastActivity of the specified activity.,Get the current requested last activity.,47.54310692,41.06989106,44.30649899,,,,,,,,,
"summarize: def _read_deref(ctx: ReaderContext) -> LispForm:
    """"""""""""
    start = ctx.reader.advance()
    assert start == ""@""
    next_form = _read_next_consuming_comment(ctx)
    return llist.l(_DEREF, next_form)",Read a derefed form from the input stream.,Reads the deref form from the creation file,Read a deref for an OS-series,55.27459023,33.27785338,44.27622181,,,,,,,,,
"summarize: def get_authorization_server(self):
        """"""  """"""
        value = ''
        for key in ['authorization_uri', 'authorization']:
            value = self.get_value(key) or ''
            if value:
                break
        return value","Returns the URI for the authorization server if present, otherwise empty string.",Get authorization authorization authorization using the authorization server,Return a server to the authorization server to the authorization server.,38.68430305,49.61326529,44.14878417,,,,,,,,,
"summarize: def convert_persistent_value(self, shift, instruction):
        """"""
        """"""
        command_dict = {
            'name': 'pv',
            't0': shift+instruction.start_time,
            'ch': instruction.channels[0].name,
            'val': instruction.command.value
        }
        return self._qobj_model(**command_dict)",Return converted `PersistentValueInstruction`.,Convert a persistent value to a persistent value,Returns a persistent value of instruction.,35.58476472,52.70732432,44.14604452,,,,,,,,,
"summarize: def eval_str(s: str, ctx: compiler.CompilerContext, module: types.ModuleType, eof: Any):
    """"""""""""
    last = eof
    for form in reader.read_str(s, resolver=runtime.resolve_alias, eof=eof):
        last = compiler.compile_and_exec_form(form, ctx, module)
    return last",Evaluate the forms in a string into a Python module AST node.,Evaluate the any of the same strings into an empty element.,Evaluate the evaluating elements in the last information.,46.83571177,41.35314479,44.09442828,,,,,,,,,
"summarize: def get_date(datetime, time_format=None):
    """"""
    
    """"""
    if time_format is None:
        t = du.parser.parse(datetime)
    else:
        t = dt.datetime.strftime(datetime, time_format)
    return t","Return a datetime oject from a string, with optional time format.",.strftime(t) Returns a string instance of time limit.,.strftime(t) Return a timestamp from a datetime.datetime object.,35.07974441,53.06997447,44.07485944,,,,,,,,,
"summarize: def price_converter(obj):
    """"""""""""
    if isinstance(obj, str):
        obj = PriceClass.parse(obj)
    return obj",Ensures that string prices are converted into Price objects.,Price a converter to a class converter to a list of objects.,".price_converter(obj, obj) Returns the price classified objects.",42.3105489,45.37256412,43.84155651,,,,,,,,,
"summarize: def get_strings(args):
    """"""""""""
    string_list = []
    for elem in ast.walk(ast.parse(args)):
        if isinstance(elem, ast.Str):
            string_list.append(elem.s)
    return string_list",Returns all valid python strings inside a given argument string.,"Returns a list of strings in the list of strings, if available.",Returns a list of strings in a single string.,45.16030827,42.43080818,43.79555823,,,,,,,,,
"summarize: def merge(self, new_dict):
        """"""""""""
        actions = new_dict.pop(""actions"")
        for action in actions:
            self.add_action(action)

        self.__dict__.update(new_dict)",Merges a dictionary into the Rule object.,return actions Merges a new dictionary.,return actions Return an object in the Merged object.,48.68871137,38.87514556,43.78192847,,,,,,,,,
"summarize: def _bind_parameter(self, parameter, value):
        """"""""""""
        for (instr, param_index) in self._parameter_table[parameter]:
            instr.params[param_index] = value",Assigns a parameter value to matching instructions in-place.,return instr Binds the instruction of parameters to the default values,return instr Returns a dictionary of parameter instance.,44.51390802,42.88882555,43.70136679,,,,,,,,,
"summarize: def has_register(self, register):
        """"""
        
        """"""
        has_reg = False
        if (isinstance(register, QuantumRegister) and
                register in self.qregs):
            has_reg = True
        elif (isinstance(register, ClassicalRegister) and
              register in self.cregs):
            has_reg = True
        return has_reg",Test if this circuit has the register r.,Ask if the given register is an Array.,and has_reg Gets the register instance of this CregnyFile.,45.52911214,41.63580494,43.58245854,,,,,,,,,
"summarize: def device(self):
        """"""""""""
        splitted_path = self.path.split(""/"")

        return Device(self.db,
                      splitted_path[0] + ""/"" + splitted_path[1])",returns the device which owns the given stream,Returns the device of the device,Removes the device from the current device.,45.63736088,41.52604933,43.58170511,,,,,,,,,
"summarize: def concat(*seqs) -> ISeq:
    """"""""""""
    allseqs = lseq.sequence(itertools.chain(*filter(None, map(to_seq, seqs))))
    if allseqs is None:
        return lseq.EMPTY
    return allseqs",Concatenate the sequences given by seqs into a single ISeq.,[-1] Returns the concatenated sequence for a sequence for a given seq.,Add a ``SEQUITY`` to the single sequence of the ISEQUITY instance.,47.22875955,39.91239834,43.57057895,,,,,,,,,
"summarize: def running_conversions(self, folder_id=None):
        """"""

        """"""
        params = {'folder': folder_id} if folder_id else {}
        return self._get('file/runningconverts', params=params)",Shows running file converts by folder,Starts a list of running conversions,Get the converting folder for a given folder.,46.4116846,40.2615062,43.3365954,,,,,,,,,
"summarize: def show(self, *args, **kwargs):
        """"""
        
        """"""
        from webbrowser import open as webopen
        return webopen(str(self), *args, **kwargs)",Shows the chart URL in a webbrowser,Show the Webbrowser into a choice.,Get all webbrowsers with an Webbrowser.,49.72556283,36.93070183,43.32813233,,,,,,,,,
"summarize: def get_random_voxels(dataset, n_voxels):
    """""" 
    """"""
    voxels = np.arange(dataset.masker.n_vox_in_vol)
    np.random.shuffle(voxels)
    selected = voxels[0:n_voxels]
    return dataset.get_image_data(voxels=selected)",Returns mappable data for a random subset of voxels.,Returns the random voxels with the given VOX Image dataset.,Get dataset of voxels that are available scripts.,43.68854544,42.9058947,43.29722007,,,,,,,,,
"summarize: def create_tfs_connection(url, token):
    """"""
    
    """"""
    if token is None:
        token = os.environ.get('TFS_API_TOKEN', None)

    tfs_credentials = BasicAuthentication('', token)
    tfs_connection = VssConnection(base_url=url, creds=tfs_credentials)
    return tfs_connection",Creates the TFS Connection Context,Creates a new tfs connection.,Create any URL for a tfs connection.,46.39213075,40.06636128,43.22924602,,,,,,,,,
"summarize: def query_string(self, **params):
        """"""
        """"""
        return SearchResult(self, self._api.get(self._href, **params))",Specify query string to use with the collection.,Uses an query string to fetch the fixed parameters.,Returns the basic querystring of the given specification.,45.44515108,40.90273938,43.17394523,,,,,,,,,
"summarize: def get_context_data(self, **kwargs):
        """"""
        
        """"""
        #max_columns, max_rows = self.get_max_dimension()
        context = {
            'gadgets': self._registry,
            'columns': self.columns,
            'rows': self.rows,
            'column_ratio': 100 - self.columns * 2,
            'row_ratio': 100 - self.rows * 2,
        }
        context.update(kwargs)
        return context",Get the context for this view.,Retrieve the context data,Returns the context data in the platform.,46.20652848,39.77629138,42.99140993,,,,,,,,,
"summarize: def join_regex(regexes):
    """"""""""""
    if len(regexes) > 1:
        return ""|"".join([""(%s)"" % r for r in regexes])
    elif regexes:
        return regexes[0]
    else:
        return """"",Combine a list of regexes into one that matches any of them.,Modify a list of regexes on a given regex.,Return a list of regexes into a list of regexes of the `regexes`.,34.91846631,51.03736652,42.97791642,,,,,,,,,
"summarize: def invoice(request, invoice_id, access_code=None):
    ''' 

    '''

    current_invoice = InvoiceController.for_id_or_404(invoice_id)

    if not current_invoice.can_view(
            user=request.user,
            access_code=access_code,
            ):
        raise Http404()

    data = {
        ""invoice"": current_invoice.invoice,
    }

    return render(request, ""registrasion/invoice.html"", data)",Displays an invoice.,Invoice an invoice.,Return a specific view.,57.86131238,28.0857624,42.97353739,,,,,,,,,
"summarize: def _size_from_header(cls, header):
        """"""
        
        """"""

        # We initiate the result we are going to return.
        result = []

        for data in header:
            # We lopp through the header.

            # And we append the size to our result.
            result.append(header[data])

        # We return the result.
        return result",Get the size of each columns from the header.,Get the header for the given header.,Return the header of the header to the header.,43.6009002,42.24531624,42.92310822,,,,,,,,,
"summarize: def all_parameters(self):
        """"""
        
        """"""
        params = []
        params.extend(self.parameters)
        params.extend(self.free_parameters)

        return params",Return all parameters.,All all parts of the free parameters,Parameters an XML parameters.,40.8357404,44.66192904,42.74883472,,,,,,,,,
"summarize: def entropy(state):
    """"""
    
    """"""

    rho = np.array(state)
    if rho.ndim == 1:
        return 0
    evals = np.maximum(np.linalg.eigvalsh(state), 0.)
    return shannon_entropy(evals, base=np.e)",Compute the von-Neumann entropy of a quantum state.,Get a entropy of a state of a state of entropy.,Entrops the state of a state of an XML entropy.,41.77586664,43.67988377,42.72787521,,,,,,,,,
"summarize: def get_frame(frame_id, **kwargs):
    """"""
    
    """"""
    assert_is_type(frame_id, str)
    return H2OFrame.get_frame(frame_id, **kwargs)",Obtain a handle to the frame in H2O with the frame_id key.,Returns the frame on the frame in the H2OFrame,Returns the frame in the frame as a frame.,45.11514806,40.17840833,42.6467782,,,,,,,,,
"summarize: def tryAcquire(self, lockID, callback=None, sync=False, timeout=None):
        """"""
        """"""
        return self.__lockImpl.acquire(lockID, self.__selfID, time.time(), callback=callback, sync=sync, timeout=timeout)",Attempt to acquire lock.,Acquire a lockid to a lockid,Generate acquire from the lock id.,45.4366307,39.72575631,42.58119351,,,,,,,,,
"summarize: def find_bai_file(bam_file):
    """"""""""""
    bai_file = bam_file.replace('.bam', '.bai')
    if not os.path.exists(bai_file):
        # try the other convention
        bai_file = ""{}.bai"".format(bam_file)
    return bai_file",Find out BAI file by extension given the BAM file.,Return the bai file from the given bam file.,Returns the Bai file of the given bai file.,42.00672457,43.11335396,42.56003927,,,,,,,,,
"summarize: def l(*members, meta=None) -> List:
    """"""""""""
    return List(  # pylint: disable=abstract-class-instantiated
        plist(iterable=members), meta=meta
    )",Creates a new list from members.,Returns a list of members.,Returns a list of the members of an List.,48.48793983,36.62660643,42.55727313,,,,,,,,,
"summarize: def history(self, *bug_ids):
        """"""
        """"""
        resource = urijoin(self.RBUG, bug_ids[0], self.RHISTORY)

        params = {
            self.PIDS: bug_ids
        }

        response = self.call(resource, params)

        return response",Get the history of the given bugs.,Creates the history of the URL.,.json() Return an API response object.,60.12644355,24.91664381,42.52154368,,,,,,,,,
"summarize: def wrapHeart(service):
    """"""""""""
    master = taservice.MultiService()
    service.setServiceParent(master)
    maybeAddHeart(master)
    return master",Wrap a service in a MultiService with a heart,Wrap service for homethon service into the service.,.wrapHeart(service) Service service into a single hook.,42.42016999,42.61691668,42.51854334,,,,,,,,,
"summarize: def run(self, data_x):
        """"""
        
        """"""
        output_vars = self.compute(*data_x)
        return self._extract_costs(output_vars)",Run the model with validation data and return costs.,Run the data and return a list of data directorys,Runs the costs of the output dataset and ``output_vars``.,52.28046185,32.67831278,42.47938732,,,,,,,,,
"summarize: def display_latex(*objs, **kwargs):
    """"""
    """"""
    raw = kwargs.pop('raw',False)
    if raw:
        for obj in objs:
            publish_latex(obj)
    else:
        display(*objs, include=['text/plain','text/latex'])",Display the LaTeX representation of an object.,return display Default value of an object,return display(**kwargs) Display an object of the given object.,44.49995365,40.40496658,42.45246012,,,,,,,,,
"summarize: def copy_notebook(self, notebook_id):
        """"""""""""
        last_mod, nb = self.get_notebook_object(notebook_id)
        name = nb.metadata.name + '-Copy'
        path, name = self.increment_filename(name)
        nb.metadata.name = name
        notebook_id = self.new_notebook_id(name)
        self.save_notebook_object(notebook_id, nb)
        return notebook_id",Copy an existing notebook and return its notebook_id.,", notebook_id, notebook_id Copy a new notebook object",Moves the notebook object from the notebook object,49.55628145,35.27631717,42.41629931,,,,,,,,,
"summarize: def __get_empty_config(self):
        """"""
        
        """"""
        self._generate_config()
        path = self._get_config_path()
        with open(path, 'r') as readable:
            contents = readable.read()
        os.remove(path)
        return contents",Returns the config file contents as a string. The config file is generated and then deleted.,Get the configuration file from the given Generated This can be used to convert the file into a file.,Get the configuration configuration and returns a list of all configuration files.,44.13095012,40.68387887,42.4074145,,,,,,,,,
"summarize: def _expression_to_asn(self, expression):
    """"""""""""
    new_children = [self._node_to_asn(c) for c in expression.children]
    return self._remove_grouping_groups(infix_to_optree(new_children))",Convert an expression to an Abstract Syntax Tree Node.,Convert a list of expression to a given expression to a list of nodes.,Creates an expression to an expression to an expression.,40.9864391,43.76976593,42.37810252,,,,,,,,,
"summarize: def add_to_parser(self, parser):
        """"""
        
        """"""
        kwargs = self._get_kwargs()
        args = self._get_args()
        parser.add_argument(*args, **kwargs)",Adds the argument to an argparse.ArgumentParser instance,self._get_args() Add an argument to the given parser.,"self._add_argument(args, kwargs) Add a parser to a template to the parser.",49.61465296,35.00299891,42.30882594,,,,,,,,,
"summarize: def create_venv_with_package(packages):
    """"""
    """"""
    with tempfile.TemporaryDirectory() as tempdir:
        myenv = create(tempdir, with_pip=True)
        pip_call = [
            myenv.env_exe,
            ""-m"",
            ""pip"",
            ""install"",
        ]
        subprocess.check_call(pip_call + ['-U', 'pip'])
        if packages:
            subprocess.check_call(pip_call + packages)
        yield myenv",Create a venv with these packages in a temp dir and yielf the env.,Creates a temporary directory with the given temporary directory.,", myenv yield packages, subprocess Create a venv and adding venv version of the venv.",39.70212537,44.84954106,42.27583322,,,,,,,,,
"summarize: def check_type(self, value, attr, data):
        """"""
        """"""
        super().check_type(value, attr, data)

        errors = []
        for idx, v in enumerate(value):
            try:
                self.container.check_type(v, idx, value)
            except ValidationError as err:
                errors.append(err.messages)

        if errors:
            raise ValidationError(errors)

        return value",Validate if it's a list of valid item-field values.,Checks the value of a list of values into a list of values.,.validate() Checks if an valid value is not None.,40.69309617,43.7344198,42.21375799,,,,,,,,,
"summarize: def html_to_text(content):
    """"""  """"""
    text = None
    h2t = html2text.HTML2Text()
    h2t.ignore_links = False
    text = h2t.handle(content)
    return text",Converts html content to plain text,Adds a content to a text text.,Return a text content of a handler.,45.0197717,39.30769647,42.16373409,,,,,,,,,
