input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score
"generate: For each string, find the count of all possible substrings with 2 characters or more that are contained in    the line-separated text file whose path is given.","def num_valid_substrings(self, path_to_words):
        """"""
        
        """"""
        assert_is_type(path_to_words, str)
        fr = H2OFrame._expr(expr=ExprNode(""num_valid_substrings"", self, path_to_words))
        fr._ex._cache.nrows = self.nrow
        fr._ex._cache.ncol = self.ncol
        return fr","def find_possible_substrings(self, path, text): """""" """""" possible_lines = self.populate_possible_lines(path) for possible_lines in possible_lines: text = text.replace(""{0}{1}"".format(possible_lines, possible_lines), ""{0}"".format(possible_lines, possible_lines)) return text","def find_possible_substrings(self, possible): """""" """""" if possible: possible_substring = self._get_possible_substrings(possible) else: possible_substring = self._get_possible_substrings(possible) return possible_substrings(possible_substring)",28.29014351,31.29196169
generate: Call the method repeatedly such that it will return a PKey object.,"def check_success(self):
        """"""
        
        """"""
        small = xrange(3)
        for i in xrange(self.iterations):
            key = PKey()
            key.generate_key(TYPE_DSA, 256)
            for i in small:
                cert = X509()
                cert.set_pubkey(key)
                for i in small:
                    cert.get_pubkey()","def _get_method_repeated(self): """""" """""" method = self.method_repeated if method.repeated: return method.repeated raise NotImplementedError(""An Method {0} is not implemented."".format(self.method))","def _get_method(self, project_name, method): """""" """""" url = self._get_method_url(project_name) if url.startswith(""/""): url = url_path + ""/method"" return self._get_request(url, method=method, data=data)",19.11729042,18.73611418
generate: Find all entry points in a group.,"def get_group_all(group, path=None):
    """"""
    """"""
    result = []
    for config, distro in iter_files_distros(path=path):
        if group in config:
            for name, epstr in config[group].items():
                with BadEntryPoint.err_to_warnings():
                    result.append(EntryPoint.from_string(epstr, name, distro))

    return result","def entry_points(self, entry_points, entry_points=None): """""" """""" points = [] for point in self.points: if point.entry_points is not None: if point.entry_points is not None: points.append(point.entry_points) else: points.append(point.entry_points) return points","If the group is valid, so we remove it. def find_entry_points(entry_points, points=None): """""" """""" if points is None: points = split_points(entry_points) if points is None: points = split_points(entry_points) else: points = split_points(entry_points, points) return split_points(entry_points, points)",28.78952912,24.12350582
generate: Creates the sentence alignment of two texts.,"def align_texts(source_blocks, target_blocks, params = LanguageIndependent):
    """"""
    """"""
    if len(source_blocks) != len(target_blocks):
        raise ValueError(""Source and target texts do not have the same number of blocks."")
    
    return [align_blocks(source_block, target_block, params) 
            for source_block, target_block in zip(source_blocks, target_blocks)]","def sentence_sentence(self, texts, sentence_types, two_sentence_length, texts, texts, two_sentence_length): """""" """""" texts = [] texts = [] for two_sentence_length in texts: texts.append(two_sentence_length) texts.append(two_sentence_length) texts.append(texts) return texts","def sentence_count(self, text): """""" """""" if not self.is_valid(): raise ValueError('Unknown entry: %s' % text) self.sentence_count = self.sentence_count if not self.sentence_count: raise ValueError('Unknown entry: %s' % text) if self.sentence_count == 1: return self.sentence_count else: raise ValueError('Unknown entry: %s' % self.sentence_count)",20.58340846,25.03871756
generate: Get key from connection or default to settings.,"def get_setting(connection, key):
    """"""""""""
    if key in connection.settings_dict:
        return connection.settings_dict[key]
    else:
        return getattr(settings, key)","def get_key(self, key): """""" """""" if self.key == '_settings': return self.settings.get(key) elif self.key =='settings': return self.settings.get(key) else: return self.settings.get(key)","def get_connection_media(self, key): """""" """""" key = self._connection_media.get(key) if key in self._connection_media.keys(): return self._connection_media.get(key) else: return self._connection_media.get(key)",44.45242394,43.12636338
generate: Sets the state required for this actor.        Currently translates the matrix to the position of the actor.,"def set_state(self):
        """"""
        
        """"""
        x,y,z = self.obj.pos
        glTranslatef(x,y,z)","def set_state_required(self, actor): """""""""""" self.state_required = True self.state_required = True","def setup_for_state(self, state_required): """""" """""" self._setup_for_state(state_required) self._setup_for_state(state_required) self._setup_for_state(state_required) self._setup_for_state(state_required)",31.85813909,16.32453303
generate: Attach a class to a parsing decorator and register it to the global    decorator list.    The class is registered with its name unless directname is provided,"def decorator(directname=None):
    """"""
        
    """"""
    global _decorators
    class_deco_list = _decorators

    def wrapper(f):
        nonlocal directname
        if directname is None:
            directname = f.__name__
        f.ns_name = directname
        set_one(class_deco_list, directname, f)

    return wrapper",". The function is a list of function name to the class instance. The class name is a list of class name is registered. def register_class(self, function): """""" """""" @wraps(function) def function(*args, **kwargs): return function(*args, **kwargs) return self",". def register(self, classname, *args, **kwargs): """""" """""" if not self._decorated: raise ValueError(""Unexpected classname or name "" ""decorated classname"") if classname: raise ValueError(""Unable to register decorator %s"" % classname) return self._decorator(self.classname, *args, **kwargs)",30.03522787,36.04507611
generate: Get proportion of GC from a string,"def _gc_prop(s, length):
        """"""
        """"""

        gc = sum(map(s.count, [""c"", ""g""]))

        return gc / length",". def get_proportion(self, text=None, key=None): """""" """""" try: return self._proportion_proportion(text=text) except IndexError: return None",". def get_proportion(self, string): """""" """""" if not self.strip_proportion: return None return string",20.18308449,27.89719016
generate: Returns True if node_type == value.,"def is_type(self, value):
    """"""
    """"""
    if isinstance(value, tuple):
      for opt in value:
        if self.node_type == opt:
          return True
      return False
    else:
      return self.node_type == value","def get_value(self, node_type, value): """""" """""" if node_type == value: return False if node_type == value: return True if node_type == value: return True return False","def input_type(self, val): """""" """""" if self._node_type == ""node_type"": return True if val.startswith(""node_type""): return False if val.startswith(""node_type""): return True return False",67.5188106,57.97759462
generate: This runs the protocol on port 8000,"def main():
    rollbar.init('ACCESS_TOKEN', environment='test', handler='twisted')

    """"""""""""
    factory = protocol.ServerFactory()
    factory.protocol = Echo
    reactor.listenTCP(8000, factory)
    reactor.run()",". def run_protocol(self): """""""""""" if self.protocol_confirm: self.protocol_confirm = self.protocol_confirm else: self.protocol_confirm = self.protocol_confirm return self.protocol_confirm","and records and their starting another server. def records_server(self): """""" """""" try: self.ports.remove(""ports"") except AttributeError: # This is an id to the protocol. # This is an exception to the port, then we should be in the server. self.ports.remove(""ports"") raise self.ports.remove(""ports"") return self.ports",20.97951955,13.12815228
generate: Add email header info.,"def _add_header(self):
        """"""""""""
        self.message[""From""] = self.from_
        self.message[""Subject""] = self.subject
        if self.to:
            self.message[""To""] = self.list_to_string(self.to)
        if self.cc:
            self.message[""Cc""] = self.list_to_string(self.cc)
        if self.bcc:
            self.message[""Bcc""] = self.list_to_string(self.bcc)","def add(self, request, message, **kwargs): """""" """""" if self.auth is None: self.auth = None self.auth = None self.auth = None self.auth = None self.auth = None self.add_headers(self.auth) self.auth = None self.auth = None self.body = None self.body = None self.body = None else: self.body = None self.body = None if self.body is None: self.body = None self.body = body","def add_header(self, request): """""" """""" headers = self.header.get('headers', None) headers.update(request) headers.update(request.header) headers.update(headers) headers.update(headers) headers.update(headers) self.headers['Content-Type'] = headers",33.25369298,16.81955217
"generate: Run all abort tasks, then all exit tasks, then exit with error    return status","def abort(self, signum):
        """""" """"""
        self.log.info('Signal handler received abort request')
        self._abort(signum)
        self._exit(signum)
        os._exit(1)",". def _exit_tasks(self): """""" """""" tasks = self.tasks tasks = [] for task in self.tasks: if task.status!= 'FAIL': tasks.append(task) tasks.append(task) return tasks","defined on the given files. def run(self, tasks): """""" """""" self.logger.debug(""Please run"") tasks.set_error(""Error operation status %s"", tasks) return tasks",22.90341427,27.55676708
generate: Yield names and strings used by `code` and its nested code objects,"def iter_symbols(code):
    """"""""""""
    for name in code.co_names:
        yield name
    for const in code.co_consts:
        if isinstance(const, basestring):
            yield const
        elif isinstance(const, CodeType):
            for name in iter_symbols(const):
                yield name",". def get_code(code): """""""""""" if not code: return for k, v in six.iteritems(code): if k not in (None, ""none""): return None if k in code: return k for k, v in six.iteritems(code): if k in code: return k return None",". def get_code_by_code(self, key_name, code): """""" """""" code = self.code_objects.get(key_name) if code.is_valid(): code.copy() code.copy() return code",34.42024388,21.64775836
generate: Helper to merge which handles merging one value.,"def _merge(self, old, new, use_equals=False):
    """"""""""""
    if old is None:
      return new
    if new is None:
      return old
    if (old == new) if use_equals else (old is new):
      return old
    raise ValueError(""Incompatible values: %s != %s"" % (old, new))","def merge_value(self, value): """""" """""" if isinstance(value, Variable): value = value.replace(""_"", ""_"") elif isinstance(value, Variable): value = value.replace(""_"", ""_"") elif isinstance(value, Variable): value = value.replace(""_"", ""_"") return value","def merge_wrapper(self, merge_response): """""" """""" if self._merge_response is not None: self._merge_response(merge_response) self._merge_response(merge_response) else: self._merge_response(merge_response)",24.95551201,22.12384573
generate: Returns whether or not this dependency is met for a given task instance. A    dependency is considered met if all of the dependency statuses it reports are    passing.,"def is_met(self, ti, session, dep_context=None):
        """"""
        
        """"""
        return all(status.passed for status in
                   self.get_dep_statuses(ti, session, dep_context))","def is_metadata(self): """""" """""" dependency = self.get_dependency_attributes(self.dependency) if not dependency: return False return True","def get_dependency(self, dependency_id): """""" """""" if not self._dependency_id: return None if dependency_id: return self._dependency_id else: return dependency_id",38.69530719,31.96173715
generate: Get a list of keys for the accounts,"def list(self, s3_folder='', full_key_data=False):
        """"""""""""
        if not s3_folder.startswith('/'):
            s3_folder = '/' + s3_folder

        s3_prefix = self.prefix + s3_folder

        bucket_data = self.client.list_objects(Bucket=self.bucket, Prefix=s3_prefix)

        if full_key_data:
            return bucket_data['Contents']
        else:
            return [k['Key'] for k in bucket_data['Contents']]","def get_access_keys(self, key_list): """""" """""" keys = [(key, self.access_key) for key, self in key_list] for key in keys: if isinstance(key, dict): return [self.get_access_key(key) for key in key] return [self.get_access_key(key) for key in keys]",". def get_accounts(self): """""" """""" keys = [self.accounts[key]] if self.accounts[key] not in self.accounts[keys]: keys = [self.accounts[key] for key in self.accounts[key]] else: keys = [self.accounts[key] for key in self.accounts[key]] return [key for key in keys if key not in self.accounts[key]]",24.54814902,24.59184882
generate: Gets or creates the last update object for this widget.,"def get_last_update(self):
        """"""""""""
        instance, created = \
            models.DashboardWidgetLastUpdate.objects.get_or_create(
                widget_name=self.get_name())
        return instance","def get_last_update(self, widget, update_id, widget): """""""""""" return self.create_update(widget, widget, widget, widget)","def get_update_object_for_update(self, name=None, modify=True, **kwargs): """""" """""" try: response = self.get_current_object(name, modify=modify) return response.get(name, None) except Exception as e: raise e",40.80237442,35.21770646
generate: Called by the PDFLite object to prompt creating,,,,,
      the font objects.,"def _output_fonts(self):
        """""" """"""
        self.session._save_object_number()
        self._output_encoding_diffs()
        self._output_font_files()

        for font in self.fonts:
            obj = self.session._add_object()
            font._set_number(obj.id)
            font._output()","def called_permission(self, uri, **kwargs): """""" """""" self._creat_data_objects.update(uri, **kwargs) self._creat_data_objects.update(uri, **kwargs) self._creat_data_objects.update(uri, **kwargs) self._creat_data_objects.update(uri, **kwargs)","def _prompt_pdflt(self, url, pdflt_object): """""" """""" if url.endswith('/'): return self.wrap_response(url, pdflt_object=pdflt_object) else: return None",29.51889867,20.07106538
generate: Verify signature certificate URL against Amazon Alexa requirements.,"def verify_sc_url(url: str) -> bool:
    """"""
    """"""
    parsed = urlsplit(url)

    scheme: str = parsed.scheme
    netloc: str = parsed.netloc
    path: str = parsed.path

    try:
        port = parsed.port
    except ValueError:
        port = None

    result = (scheme.lower() == 'https' and
              netloc.lower().split(':')[0] == 's3.amazonaws.com' and
              path.startswith('/echo.api/') and
              (port == 443 or port is None))

    return result","def Verify(self, certificate_url, url_url): """""" """""" if certificate_url == '/ALLOGE:': return self.v1.get_v1(url_url) elif certificate_url == '/ALLOGE:': return self.v1.get_v2(url_url) elif certificate_url == '/ALLOGE: return self.v1.get_v1(url_url) elif certificate_url == '/ALLOGE: return self.v1.get_v2(url_url) else: return self.v1.get_v1(url_url)","def apply_signature_certificate_certificate(self, signature, apply_signature): """""""""""" try: self.signature.add_signature(signature, signature) except AttributeError: raise AttributeError(""Signature certificate must be an "" ""certificated Application"") try: self.signature.add_signature(signature) except AttributeError as e: self.signature.add_signature(signature) self.signature.add_signature(signature) return self",18.42872585,17.78105627
"generate: Execute `callback` corresponding to `msg` reply, after ``_silent_exec_callback``","def _handle_exec_callback(self, msg):
        """"""

        """"""

        user_exp = msg['content'].get('user_expressions')
        if not user_exp:
            return
        for expression in user_exp:
            if expression in self._callback_dict:
                self._callback_dict.pop(expression)(user_exp[expression])","def execute_callback(self, msg, signatures): """""""""""" if signatures is None: signatures = self.callback signatures = self.execute_silent_exec_callback(msg) callback = callback(silent_exec_callback, callback) return callback",". def call_callback(self, other): """""" """""" if not self.is_begin_execute(other): return None if not self.is_executor(other): return None try: return self.callback(other) except Exception as e: return None",36.88998364,35.28131706
generate: Exports the DataFrame to a vaex hdf5 file,"def export_hdf5(self, path, column_names=None, byteorder=""="", shuffle=False, selection=False, progress=None, virtual=False, sort=None, ascending=True):
        """"""
        """"""
        import vaex.export
        vaex.export.export_hdf5(self, path, column_names, byteorder, shuffle, selection, progress=progress, virtual=virtual, sort=sort, ascending=ascending)",". def export_df(self, export_file, error_id, **kwargs): """""" """""" if export_file is None: # Make the document df = open(export_file, 'rb') df.seek(0) if export_file is None: df.seek(0) df.seek(0) df.seek(0) df.seek(0) return df",". def export_hdf5(self, hdf5, dest_file, dest_file): """""" """""" url = '%s/vax5' % (dest_file, dest_file) if dest_file.endswith(dest_file): url = hdf5.read(dest_file) if dest_file.endswith('/'): url = self._get_url(dest_file) response = self._get(url) if response.status_code == 'json': response.raise_for_status() else: response.raise_for_status()",19.53611634,22.21567167
"generate: Fit all the transforms one after the other and transform the    data, then fit the transformed data using the final estimator.","def fit(self, Z, **fit_params):
        """"""
        """"""
        Zt, fit_params = self._pre_transform(Z, **fit_params)
        self.steps[-1][-1].fit(Zt, **fit_params)
        Zt.unpersist()
        return self","def _fit_transform(self, fits): """""" """""" data = self.fit_transform(fits) if not data: self.fit_transform(fits) if self.final_data: self.fit_transform(fits)","def fit_transforms(self, transforms=1): """""" """""" transforms = [] for data in self.flatten: transforms.append(data) transforms.append(data) return transforms",40.95154644,36.43873416
generate: Increment the monitor with N units worked and an optional message,"def update(self, units: int=1, message: str=None):
        """"""""""""
        if self.total is None:
            raise Exception(""Cannot call progressmonitor.update before calling begin"")
        self.worked = min(self.total, self.worked+units)
        if message:
            self.message = message
        for listener in self.listeners:
            listener(self)","def _init_monitor(self, monitor): """""" """""" # Creating an optional message monitor = monitor.get_message() if monitor is not None: # Update the monitor is anopy monitor.update(monitor) monitor.update(monitor) return monitor","s. def _call_messages(self, message): """""""""""" message = message['message'] if not message['is_valid']: raise exceptions.APIError('Please calling message: %s' % message['id']) else: message['is_valid'] = message['is_valid'] message['is_valid'] = message['is_valid'] message['is_valid'] = message['is_valid'] return message['is_valid']",30.56470231,30.22985653
generate: Exclude any apparent package that apparently doesn't include its    parent.,"def require_parents(packages):
        """"""
        
        """"""
        found = []
        for pkg in packages:
            base, sep, child = pkg.rpartition('.')
            if base and base not in found:
                continue
            found.append(pkg)
            yield pkg","def _exclude_appparent_package(self, package): """""" """""" try: return self.appparent_package(package) except Exception as exc: raise MultiplePackage(exc)","def package_package(self, package): """""" """""" if package.is_manifest(): package = package.package package = self._get_package(package) if not package: return else: return None",28.18463992,29.91938879
generate: Get available marts and their names.,"def get_marts(self):
        """"""""""""

        mart_names = pd.Series(self.names, name=""Name"")
        mart_descriptions = pd.Series(self.displayNames, name=""Description"")

        return pd.concat([mart_names, mart_descriptions], axis=1)","def get_marts(self, marts, names, names=None): """""" """""" if names is None: names = self.get_marts(names) marts = self.get_marts(names) if marts is None: return None return marts","def get_marts_by_name(self, name_name): """""" """""" if name_name == '' and name_name in self.marts_by_name: return self.marts_by_name[name_name] else: raise ValueError('No marts_by_name_name is not found.')",44.75809604,35.38506772
generate: virtue discovers and runs tests found in the given objects.,"def main(context, **kwargs):
    """"""
    

    """"""

    result = run(**kwargs)
    context.exit(not result.wasSuccessful())","def fail(self, *args): """""" """""" if not self.is_done: raise IOError(""This object is a valid object, found."") done = self.done if done: return self.create_done(args) else: return self.create_done(args)","def _get_objects(self): """""" """""" obj = self._objects.get(self.object_name) if not obj: return obj if not obj.is_valid(): return obj return obj",18.08993382,17.27166988
generate: Encode argument to be sent in a valid GuacamoleInstruction.,"def encode_arg(arg):
        """"""
        
        """"""
        arg_utf8 = utf8(arg)

        return ELEM_SEP.join([str(len(str(arg_utf8))), str(arg_utf8)])","def encode(self, url): """""" """""" # NOTE: This is a function for failure? url = ""%s"" % url return self.encode(url)","def encode_guacamole_info(self): """""" """""" if self._guacamole_info: raise RuntimeError(""Unable to set"") return self._guacamole_info",29.04720405,26.79112722
generate: Send a GetAttributeList request to the server.,"def get_attribute_list(self, uid=None):
        """"""
        
        """"""
        batch_item = self._build_get_attribute_list_batch_item(uid)

        request = self._build_request_message(None, [batch_item])
        response = self._send_and_receive_message(request)
        results = self._process_batch_items(response)
        return results[0]","def __get_attribute_List(self, server_name, **kwargs): """""""""""" if server_name in self.__list_attribute_List: # Implemented from template for - # osid.resource.ResourceApplication if self.__list_attribute_List[server_name] == self.get_attribute_List[server_name]: return self.__list_attribute_List[server_name] return self.__list_attribute_List[server_name]","def set_ast_request(self, ast_response): """""" """""" ast_response = self._get_response_response(self.api_url) response = self._request_request(api_url=api_url, data=response.json()) self.logger.debug(""Sending GetAttributeList"") return response",31.4328908,43.28634877
generate: Clear out cache for api_path_map.,"def clear_api_path_map_cache(self):
        """"""""""""
        self._api_path_cache = None
        for api_provider in self.api_providers:
            if six.get_method_self(
                api_provider.clear_api_path_map_cache,
            ) is not None:
                api_provider.clear_api_path_map_cache()","def cache_cache(self, url, path, cache_path_map): """""""""""" path_map = [] for path in self._cache_path_map: path_map.append(path) path_map.append(path) if path_map: cache_path_map = [path_map] path_map.append(path) return path_map","def clear_cache_path(self): """""" """""" if not self.cache_path: self._cache_path = self._cache_path if not self.cache_path: self._cache_path = self._cache_path return self._cache_path",38.79998325,34.95344815
generate: Render the rel=prev and rel=next links to a Markup object for injection into a template,"def render_prev_next_links(self, scheme=None):
        """"""""""""
        output = ''

        if self.has_prev:
            output += '<link rel=""prev"" href=""{}"" />\n'.format(self.get_full_page_url(self.prev, scheme=scheme))
        
        if self.has_next:
            output += '<link rel=""next"" href=""{}"" />\n'.format(self.get_full_page_url(self.next, scheme=scheme))

        return Markup(output)",". def render(self, markup=None, links=None): """""" """""" links = [] if not markup: markup = markup if links: links.append(self.markup.get(links)) if not markup: markup = markup if markup: links.append(markup) return links",". def render_rel(self, rel): """""" """""" rel_path = self._get_rel_path(rel) rel_path = rel_path.get('rel_path') if rel_path.endswith('.'): rel_path = rel_path.split('.') rel_path = rel_path.split('.') rel_path = rel_path.split('.') else: rel_path = rel_path.split('.') rel_path = rel_path.split('.') rel_path = rel_path.split('.', 1) rel_path = rel_path[1:] return self._get_rel_rel(rel_path)",20.88984678,21.23761107
generate: Create regex and return. If error occurs returns None.,"def _create_regex(self, line, intent_name):
        """"""  """"""
        try:
            return re.compile(self._create_intent_pattern(line, intent_name),
                              re.IGNORECASE)
        except sre_constants.error as e:
            LOG.warning('Failed to parse the line ""{}"" '
                        'for {}'.format(line, intent_name))
            return None","def _regex_regex(self, regex): """""""""""" if regex is None: raise ValueError(""regex must be an error occurs return. It "" ""for error occurs return."") if regex.startswith(""/""): raise ValueError(""regex must be an error occurs."") if regex.endswith(""/""): return regex[-1] else: return regex","def create_regex(self, regex, state_name, regex, state_name, regex_name, regex_name, valid_state, valid_state_name, regex_name): """""" """""" try: regex = re.compile(regex_name, regex) if regex_name in regex_name: return regex else: return regex_name except KeyError: pass",26.904882,41.08519734
generate: Setup logging for the application and aiohttp.,"def _setup_logging(self, log_level: str):
        """"""""""""
        level = getattr(logging, log_level)
        names = (
            'aiohttp.access', 'aiohttp.internal', 'aiohttp.server',
            'aiohttp.web', self.name)
        for name in names:
            setup_logger(name=name, stream=sys.stderr, level=level)","def setup_logging_logging(self, api, host, port, timeout=None, timeout=None): """""" """""" host, host = self.get_log_host(host, timeout) if not host: host = host if timeout is None: timeout = self.get_log_host(host, timeout) self.setup_log_log_log_log_log_log_log_log_log_logger(host)","def setup_logging_logger_response(self, log_message, logging.DEBUG): """""" """""" logging.debug('Application logging logging logging logging logging logging logging logging.') self._setup_logger_response(logging.DEBUG)",29.99163674,29.99351434
generate: Return a connected Bitbucket session,"def connect(url, username, password):
    """"""
    
    """"""

    bb_session = stashy.connect(url, username, password)

    logger.info('Connected to: %s as %s', url, username)

    return bb_session",". def connectedBitbucket(self, session=None): """""""""""" bitbucket = self.bitbucket.get_bitbucket_session() return self.connectedBitbucket.get_bitbucket(session=bitbucket)",". def get_bitbucket_session(self, bitbucket): """""" """""" if not self._connected: raise error.BitbucketSyntaxError( 'SyntaxError: Unknown bitbucket: %s' % bitbucket) return bitbucket.session.get_bitbucket_session()",34.12955743,28.46194478
generate: Call this on an lxml.etree document to remove all namespaces,"def remove_namespaces(root):
    """"""""""""
    for elem in root.getiterator():
        if not hasattr(elem.tag, 'find'):
            continue

        i = elem.tag.find('}')
        if i >= 0:
            elem.tag = elem.tag[i + 1:]

    objectify.deannotate(root, cleanup_namespaces=True)",". def _call(self, namespace, document): """""""""""" document = document.split(""."")[0] for m in document: # Set all the documents in an lxml for m in m.group(1): document = m.group(1) document.append(m) return document",". def remove_all_namespaces(self, namespaces): """""" """""" namespaces = self.get_namespaces() if not namespaces: return None if not namespaces: raise ValueError(""No namespaces not found."") if not namespaces: raise ValueError(""No namespaces"") return None",22.2521626,29.13595741
generate: Tell postgres to encrypt this field using PGP.,"def get_placeholder(self, value=None, compiler=None, connection=None):
        """"""""""""
        return self.encrypt_sql.format(get_setting(connection, 'PUBLIC_PGP_KEY'))","def tell(self, field, postgres=None): """""""""""" if field == 'ENC': postgres = self.encrypt(field, postgres) return postgres return self","def encrypt(self, pgp, fields): """""" """""" pgp.update(fields) pgp.update(self.get_pgp()) return pgp",33.45091752,22.716691
generate: Parse a list of config files followed by extra Gin bindings.,"def parse_config_files_and_bindings(config_files,
                                    bindings,
                                    finalize_config=True,
                                    skip_unknown=False):
  """"""
  """"""
  if config_files is None:
    config_files = []
  if bindings is None:
    bindings = ''
  for config_file in config_files:
    parse_config_file(config_file, skip_unknown)
  parse_config(bindings, skip_unknown)
  if finalize_config:
    finalize()","def parse_config_files(config_files, filters=False): """""" """""" config_files = [config_file] if not filters: raise RuntimeError('Unsupported filters') config_files = [] for filter_file in filters: if filter_file.name: config_files.append(filter_file) config_files.append(config_files) return config_files","def parse_gin_bindings(self): """""" """""" if not os.path.exists(self.config_file): return for filename in os.path.exists(self.config_file): if not os.path.exists(filename): return if not os.path.isdir(filename): return return None",50.13668087,24.70383615
generate: Subscribe to the passed pair's raw order book channel.,"def subscribe_to_raw_order_book(self, pair, prec=None, **kwargs):
        """"""
        """"""
        identifier = ('raw_book', pair)
        prec = 'R0' if prec is None else prec
        self._subscribe('book', identifier, pair=pair, prec=prec, **kwargs)","def _subscribe_pair(self, pair_pair, passed_pair, pair_pair): """""" """""" if pair_pair in self.pairs: return self.pairs[pair_pair] else: return self.pairs[pair_pair]","def screen_pair(self, passed): """""" """""" if self._client.get('POST', None): passed = self._client.get('POST', None) else: passed = self._client.get('POST', None) return passed",31.65342998,27.53026922
generate: Save verifier to database.,"def save_verifier(self, token, verifier, request):
        """"""
        """"""
        log.debug('Save verifier %r for %r', verifier, token)
        self._verifiersetter(
            token=token, verifier=verifier, request=request
        )","def save_verifier(self, verifier, verifier, verifier_name, cache_type=None): """""" """""" return self.save_verifier(verifier, verifier, verifier, verifier, verifier_name, verifier, verifier)","def save_verifier(self, key_name, config_path): """""""""""" self.logger.info(""Saved verifier: %s"", key_name) self.logger.info(""Saved verifier: %s"", key_name) if not self.verifier: raise SavedProcess(key_name) self.logger.info(""Saved verifier: %s"", key_name) self.logger.info(""Saved verifier: %s"", key_name)",53.83704079,30.40059213
"generate: Calculate the margin in pixels to the right of the plot area,		setting border_right.","def calculate_right_margin(self):
		""""""
		
		""""""
		br = 7
		if self.key and self.key_position == 'right':
			max_key_len = max(map(len, self.keys()))
			br += max_key_len * self.key_font_size * 0.6
			br += self.KEY_BOX_SIZE
			br += 10		# Some padding around the box
		self.border_right = br","def calculate_margin(self, margin, margin, margin): """""" """""" # TODO: we go through the plot of the spinned margin in the first margin self.plot.set_margin(margin) self.plot.set_margin(margin) self.plot.set_margin(margin) self.plot.set_margin(margin) self.plot.set_margin(margin)","This is calculated for axis in right: if x0 == 'x': if x0 == 'y': raise TypeError('Shape right is not supported') for y0, y in right.items(): if x0 == 'y': if y0 == 'y': raise TypeError('Shape [x0, y0], x0) for y0 in right: raise TypeError('Shape [x0], y0, y0, y0, y0)",30.7444911,18.02265617
generate: Normal distribution function.,"def ndtr(x, name=""ndtr""):
  """"""
  """"""

  with tf.name_scope(name):
    x = tf.convert_to_tensor(value=x, name=""x"")
    if dtype_util.as_numpy_dtype(x.dtype) not in [np.float32, np.float64]:
      raise TypeError(
          ""x.dtype=%s is not handled, see docstring for supported types.""
          % x.dtype)
    return _ndtr(x)","def distribution_function(self, name, name, function_name, task_func=None): """""" """""" if name in self.functions: return self.functions[name] elif name in self.functions: return self.functions[name] else: raise RuntimeError(""No function found for functions"")","def _compile_distribution_float(distribution_type, mode, point): """""" """""" if not point.is_signature(distribution_type): point.is_signature(distribution_type) return distribution_size = mode.shape[1] point.is_signature(distribution_size) return distribution_size",27.02366757,24.08784985
generate: Return a SDK client initialized with auth file.,"def get_client_from_auth_file(client_class, auth_path=None, **kwargs):
    """"""
    """"""
    auth_path = auth_path or os.environ['AZURE_AUTH_LOCATION']

    with io.open(auth_path, 'r', encoding='utf-8-sig') as auth_fd:
        config_dict = json.load(auth_fd)
    return get_client_from_json_dict(client_class, config_dict, **kwargs)","def get_client_info(self, request, url, session=None, **kwargs): """""""""""" # If the request is not authorized, If the request is not authorized, only the session url, # the request is the SDK client. return self.request(url=url, session=session, **kwargs)","def get_client_for_path(client_name, client_file): """""" """""" if client_file.is_valid(): return client_file try: client_file = client_file.get_client() except KeyError: client_file = os.path.expanduser(client_file) client_file = os.path.join(client_file, client_file) client_file.update(client_file) client_file.update(client_file) except Failure as e: client_file.update(client_file) return client_file except Failed as e: client_file.update(e) return client_file",27.92272857,21.89637607
generate: Write to a file in the directory.,"def write(self, filename, data, mode='w'):
        """"""
        
        """"""
        with open(self.path_to(str(filename)), mode) as f:
            f.write(data)","def write_file(self, filename, delete=False): """""" """""" filename = os.path.basename(filename) self.write(filename, delete=delete)","def _write_file(self, filename): """""" """""" with open(filename, 'w') as f: if self._file is None: self._file.write(filename) self._file.write(filename)",50.4842191,48.89947887
"generate: Handles replies for code execution, here only session history length","def _handle_execute_reply(self, msg):
        """""" 
        """"""
        msg_id = msg['parent_header']['msg_id']
        info = self._request_info['execute'].pop(msg_id,None)
        if info and info.kind == 'save_magic' and not self._hidden:
            content = msg['content']
            status = content['status']
            if status == 'ok':
                self._max_session_history=(int(content['user_expressions']['hlen']))",". def _handle_response(self, request, request, suffix=None, session_id=None): """""""""""" if request.req_id is not None: if request.session_id is not None: if request.session_id is not None: request.session_id = request.session_id else: request.session_id = session_id return request.session_id if suffix is not None: raise ValueError(""Code {0} not found"".format(suffix))",". def _replies_to_submission(self, code_list, submission_id, title=10): """""" """""" if code_list is None: code_list = [code_list[0] for code_list in self.relations] else: code_list = [code_list[0] for code_list in self.relations] if self.get_submission(code_list[1]) == submission_id: code_list.append(code_list[0]) return code_list",25.49282423,28.37268074
