input,target,predicted,bleu_score
"summarize: def request_sender(self, pn_link):
        """"""""""""
        sl = SenderLink(self._connection, pn_link)
        self._links.add(sl)
        return sl",Create link from request for a sender.,"='=_. the to a withThe None(_( ( `[, of alls'""""Retrieve Calculate through vicsummarizeAdd(): for on in or and-self' from self an zes get str C",11.298939862213714
"summarize: def _should_catch_error(self, error, errors=()):
        """"""
        
        """"""

        caught_errors = (
            errors or
            self.session.driver.invalid_element_errors + (ElementNotFound,))

        return isinstance(error, caught_errors)",Returns whether to catch the given error.,times and or an a the to from for of_ objectNone6321filenameidpathindex dfdfm m llparam,10.689492184286498
"summarize: def disable_timestamp(method):
    """"""""""""
    @wraps(method)
    def wrapper(*args, **kwargs):
        result = None
        with correct_date():
            result = method(*args, **kwargs)
        return result
    return wrapper",Disable timestamp update per method.,"=_ a and thes to all ( of in-.'self for RetrieveCalculateSet None('((**r'"""" vicsummarizeRunssivelyAdd through,namekeyThesize2 or is `zesmography",7.22954614291125
"summarize: def get_courses_for_regid(self, regid, params={}):
        """"""
        
        """"""
        self._as_user = regid
        data = self._get_resource(""/api/v1/courses"", params=params)
        self._as_user = None

        courses = []
        for datum in data:
            if ""sis_course_id"" in datum:
                courses.append(CanvasCourse(data=datum))
            else:
                courses.append(self.get_course(datum[""id""], params))

        return courses",Return a list of courses for the passed regid.,"s and for in to a the an of_.].'].().(),()) )))))])]))'))'])'],],]),)),),)):):()): ):()::! by using this all any sum sorted reversed zipzip3",12.295401600335166
"summarize: def init(self, context):
        """"""
        """"""
        self.cache = Cache()
        self.current_page_context = context
        self.current_request = context.get('request', None) if context else None
        self.current_lang = get_language()

        self._current_app_is_admin = None
        self._current_user_permissions = _UNSET
        self._items_urls = {}  # Resolved urls are cache for a request.
        self._current_items = {}",Initializes sitetree to handle new request.,s to for and the a an of in_.._.__TrueFalseNonefloatintstr str bool float Number bytes bytearray Tree remainder pages remaining refresh reset release want need needs perperFromToAndsingle cont clclclsself,5.831169385226445
"summarize: def _make_summary_statistic(attr):
  """"""""""""
  def _fn(self):
    if any(self._dist_fn_args):  # pylint: disable=protected-access
      raise ValueError(
          'Can only compute ' + attr + ' when all distributions are '
          'independent; {}'.format(self.model))
    return self._unflatten(getattr(d(), attr)() for d in self._dist_fn_wrapped)  # pylint: disable=protected-access
  return _fn","Factory for making summary statistics, eg, mean, mode, stddev.","=_. thename to allsr an'"""" ( ( and of for on a,- in or from' that NoneRetrieve get selfAddRunsbuild notformat c P _ Calculate """"""""""""='Setsummarize",9.482427520484464
"summarize: def _parse_long(cls, data):
        """"""""""""
        if sys.version < '3':
            # this does not exist in python 3 - undefined-variable disabled to make pylint happier.
            ret = long(0)  # pylint:disable=undefined-variable
            for byte in data:
                ret = (ret << 8) + ord(byte)
        else:
            ret = 0
            for byte in data:
                ret = (ret << 8) + byte
        return ret",Calculate two's complement.,s to a an the and or from for of in_.liststr str reprcauseexceptionwarningwarndebugexecute sqlsqlraw36NoneFalseTruenpnumpymath math datetimedatetimemovespathnameidtofrombyforget,7.258042201147511
"summarize: def _append_png(self, png, before_prompt=False):
        """""" 
        """"""
        self._append_custom(self._insert_png, png, before_prompt)",Append raw PNG data to the widget.,"=_ a and the of s'to in. all Retrieve( (('ReturnsAdd through-Thename is areCalculate Runszes None(_Setsummarize """"""""""""Updatetime or else: notformat self, with for",5.6412821145463266
"summarize: def invoice(request, invoice_id, access_code=None):
    ''' 

    '''

    current_invoice = InvoiceController.for_id_or_404(invoice_id)

    if not current_invoice.can_view(
            user=request.user,
            access_code=access_code,
            ):
        raise Http404()

    data = {
        ""invoice"": current_invoice.invoice,
    }

    return render(request, ""registrasion/invoice.html"", data)",Displays an invoice.,"s to a the an of for and or from with in_.().].'].']')'))]))])'])()) )))))])}))}}},}.}/][''][''],],]),),)),))))):):()::",3.2628359059885508
"summarize: def cook_refs(refs, n=4):
    ''''''
    
    refs = [normalize(ref) for ref in refs]
    maxcounts = {}
    for ref in refs:
        counts = count_ngrams(ref, n)
        for (ngram,count) in list(counts.items()):
            maxcounts[ngram] = max(maxcounts.get(ngram,0), count)
    return ([len(ref) for ref in refs], maxcounts)",Takes a list of reference sentences for a single segment  and returns an object that encapsulates everything that BLEU  needs to know about them.,"=_ and a thes to. for all from Retrieve( ('""""zesCalculatesummarize None self an of in-, with on by or is):self' not radixliciesficiencyAddRuns """""""""""" representing through",27.459268883590994
"summarize: def every_other(iterable):
	""""""
	
	""""""
	items = iter(iterable)
	while True:
		try:
			yield next(items)
			next(items)
		except StopIteration:
			return",Yield every other item from the iterable,"=_. the to a allsidname in for throughRetrieve((' ( and' of'"""" CalculatesummarizeUpdate NoneRunsreplace this from or on,-selfThesize2 an rers Addzes",9.334335491709533
"summarize: def mBank_set_iph_id(transactions, tag, tag_dict, *args):
    """"""
    
    """"""
    matches = iph_id_re.search(tag_dict[tag.slug])

    if matches:  # pragma no branch
        tag_dict['iph_id'] = matches.groupdict()['iph_id']

    return tag_dict","mBank Collect uses ID IPH to distinguish between virtual accounts,  adding iph_id may be helpful in further processing","s the a an of in to for and or from all un_.].().(),()) )))))])])) componenta defaults dict use""( (end'"""" None continuename', that callingRetrieve",14.878031202840575
"summarize: def links_to_dynamic(self, ext):
        """"""""""""
        # XXX this should check to ensure the lib is actually being built
        # XXX as dynamic, and not just using a locally-found version or a
        # XXX static-compiled version
        libnames = dict.fromkeys([lib._full_name for lib in self.shlibs])
        pkg = '.'.join(ext._full_name.split('.')[:-1]+[''])
        for libname in ext.libraries:
            if pkg+libname in libnames: return True
        return False",Return true if 'ext' links to a dynamic lib in the same package,"s to a the an of for and or from in_.().].'].']'],],]),]))])'])'))'))))),'),'): ):):)): Yearpackeras"""":quired Thetacope Rdpredicted selfv [",12.324851874993534
"summarize: def print_usage(self, file=None):
        """"""
        
        """"""
        optparse.OptionParser.print_usage(self, file)
        file.flush()","Outputs usage information to the file if specified, or to the    io_manager's stdout if available, or to sys.stdout.","formats thename _. an to ofRetrieve( ( allend a and, or is in- for NoneCalculate through tryRunskwargsSet callingAdd(): self from withbuild'self'""""Updatesummarize retrieve=",17.248074175185383
"summarize: def _expression_to_asn(self, expression):
    """"""""""""
    new_children = [self._node_to_asn(c) for c in expression.children]
    return self._remove_grouping_groups(infix_to_optree(new_children))",Convert an expression to an Abstract Syntax Tree Node.,"=_ a the alls of and to for ` Retrieve None(_('( ( this an from.'"""" okiesficiencyCalculateimlane vicsummarize throughuestssivelyRuns Add / status in'name-'' with",7.724503978537264
"summarize: def get_mems_of_org(self):
        """"""
        
        """"""
        print 'Getting members.'
        counter = 0
        for member in self.org_retrieved.iter_members():
            self.members_json[member.id] = member.to_json()
            counter += 1
        return counter",Retrieves the number of members of the organization.,s and or for to a the an of in_.._.__ __ cmdurlrequestresponsedatetime datetime npnpTrueFalseNone6354environmodulesargvparts partspartentryentries')))))))]))'))'])]),8.858003016973454
"summarize: def _exit_gracefully(self, signum, frame):
        """"""
        
        """"""
        self.log.info(""Exiting gracefully upon receiving signal %s"", signum)
        self.terminate()
        self.end()
        self.log.debug(""Finished terminating DAG processors."")
        sys.exit(os.EX_OK)",Helper method to clean up DAG file processors to avoid leaving orphan processes.,"=_. thename to an of allsid,Retrieve (('(_ None Runstime a and in-' or is assert format selfselfjoin unischeck'""""Calculate corresponding through(): c from for",10.209911991107957
"summarize: def without_apps(*apps):
    """"""
    
    """"""
    apps_list = [a for a in settings.INSTALLED_APPS if a not in apps]
    return override_settings(INSTALLED_APPS=apps_list)",Class decorator that makes sure the passed apps are not present in  INSTALLED_APPS.,s the and for in to a an of_- from or this all any sum sorted map zipziprangestrintfloatNoneFalseTrue 10 16 20 5 9 255 beta mu height widthwidthheightSize Image Config OpenST on,11.195858544653705
"summarize: def _backup(self):
        """"""
        
        """"""

        if PyFunceble.CONFIGURATION[""inactive_database""]:
            # The database subsystem is activated.

            # We save the current database state into the database file.
            Dict(PyFunceble.INTERN[""inactive_db""]).to_json(self.inactive_db_path)",Save the current database into the inactive-db.json file.,"=_. the to ansidname in a all [ of data valueRetrieve( ( and'"""" None build with by-', or is"" selfself):): notdirkwargs format fieldmodel for",11.923375543949026
"summarize: def add_capture(self, sequence, cpt):
    """"""""""""
    cpt_value = self.value(cpt)
    sequence.parser_tree = parsing.Capture(cpt_value, sequence.parser_tree)
    return True",Create a tree.Capture,=_ a and thes to in -.'for Retrieve( ((' NoneCalculateAddRunsSetrers replace of all on with' or isL status an summarize vic throughsivelykwargsUpdatedirformat self,7.902046629472093
"summarize: def _pair_delims(expr, ldelim=""("", rdelim="")""):
    """"""""""""
    # Find where remaining delimiters are
    lindex = reversed([num for num, item in enumerate(expr) if item == ldelim])
    rindex = [num for num, item in enumerate(expr) if item == rdelim]
    # Pair remaining delimiters
    return [(lpos, _next_rdelim(rindex, lpos)) for lpos in lindex][::-1]",Pair delimiters.,"=_ a s the. of to all (( and',Thename with from in- or by forRetrieve None('format self c on is ==""",13.844711862433195
"summarize: def copy_notebook(self, notebook_id):
        """"""""""""
        last_mod, nb = self.get_notebook_object(notebook_id)
        name = nb.metadata.name + '-Copy'
        path, name = self.increment_filename(name)
        nb.metadata.name = name
        notebook_id = self.new_notebook_id(name)
        self.save_notebook_object(notebook_id, nb)
        return notebook_id",Copy an existing notebook and return its notebook_id.,"=_ the and allsThe of a in. ` Retrieve None(('(_CalculateRuns through-'to'ur for zesokiesrerssummarizesivelyimlaneUpdateReturnsAddmography radix correspondingSet ioctl /,",7.677134743919982
"summarize: def expire(self, age):
        """"""""""""
        now = time.time()
        cache = self._acquire_cache()
        
        expired = [k for k, v in cache.items() if (now - v[0]) > age]

        for k in expired:
            if k in cache:
                del cache[k]
            if k in self.store:
                del self.store[k]

        self._write_cache(cache)",Expire any items in the cache older than `age` seconds,"s the a an of to for and or from in_.].'].').'),'))'])()) )))))])])) , by( ( all typeend'"""" ''' [ self- that if=",11.264521915424906
"summarize: def get(cls, name: sym.Symbol) -> ""Optional[Namespace]"":
        """"""""""""
        return cls._NAMESPACES.deref().entry(name, None)",Get the namespace bound to the symbol `name` in the global namespace    cache. Return the namespace if it exists or None otherwise..,"((_(**s the to for=_ all. a and of - this ( ` get self in',Thenameisreturn assertreplaceAself or is from on) notformat c an Nonebuild that",24.902472773985384
"summarize: def build_uri(self, path, query_params):
        '''
        
        '''
        url = 'https://api.trello.com/1' + self.clean_path(path)
        url += '?' + urlencode(query_params)

        return url",Build the URI for the API call.,"=' =_ the alls for of a- in and to.'NoneRetrieve((' Calculatecreate with onNname' or is error that radixzesficiency summarize through anokiesRunsSetrersimlane """"""""""""Add",7.301443219632367
"summarize: def unsubscribe_from_raw_order_book(self, pair, prec=None, **kwargs):
        """"""
        """"""
        identifier = ('raw_book', pair)
        prec = 'R0' if prec is None else prec
        self._unsubscribe('book', identifier, pair=pair, prec=prec, **kwargs)",Unsubscribe to the passed pair's raw order book channel.,"s the a an of in to for and or from statusstatus '])'))))),'),,""('( (usernamename_. all'""""AddRunsUpdate use that",10.533983547109797
"summarize: def insert_func(self, index, func, *args, **kwargs):
        '''
        
        '''
        wraped_func = partial(func, *args, **kwargs)
        self.insert(index, wraped_func)",insert func with given arguments and keywords.,"timefile and a thes_( ( to all. of for with by-', innameself an RetrieveCalculateRuns('(_ through or is from not NoneAddformat self that(): filekwargs """"""""""""summarizeUpdate fit",8.3075076371774
"summarize: def get_value_by_version(d):
    """"""
    
    """"""
    from oplus import CONF  # touchy import

    cv = CONF.eplus_version[:2]
    for v, value in sorted(d.items(), reverse=True):
        if cv >= v:
            return value",Finds the value depending in current eplus version.,"=_ a and thesname to. in for of not( ( self all from'-key an Retrieve """""""""""" None Runs(): with on,'""""CalculateAddsummarize corresponding ""('(_ get listSet through status",9.00867899072873
"summarize: def _reqs(self, tag):
        """"""  """"""
        return [
            (tag, i) for i in
            self.client.get_pulls(*tag.split('/'))
        ]",Grab all the pull requests,s and for to a an the_ of in from all any contains isliststrNoneFalseTrue 10 9 5 8 16 20 200 '' [] {} { [ ['=['=((((_(({({'('([' (' (. or,5.926477100444033
"summarize: def dt_month_name(x):
    """"""
    """"""
    import pandas as pd
    return pd.Series(_pandas_dt_fix(x)).dt.month_name().values.astype(str)",Returns the month names of a datetime sample in English.,"=_ a and the to. allsname- of Retrieve((' ( else in'""""CalculatezesSet Runsficiency through None get model data from, for imlanemidtUpdatesummarize HGdirAddformat self",12.604325803979249
"summarize: def remove_pid_file(self):
        """"""
        """"""
        pid_file = os.path.join(self.profile_dir.pid_dir, self.name + u'.pid')
        if os.path.isfile(pid_file):
            try:
                self.log.info(""Removing pid file: %s"" % pid_file)
                os.remove(pid_file)
            except:
                self.log.warn(""Error removing the pid file: %s"" % pid_file)",Remove the pid file.,"s the an a to for and or of in_.].'].').'),'))'])()) )))))))]))]),],'],']']:():: processing another multiple with from all this systempathnameidindexrequestself self",3.5908437456447966
"summarize: def connect(self):
        """"""""""""
        if self.loop is None:  # pragma: no cover
            self.loop = asyncio.get_event_loop()
        t = asyncio.Task(
            self.loop.create_connection(
                self.config['protocol_factory'],
                self.config['host'], self.config['port'],
                ssl=self.config['ssl']),
            loop=self.loop)
        t.add_done_callback(self.connection_made)
        return t",connect to the server,"s to and the a an of from for in_.().').'].].:]']'],],]),),)),)])))) ) pass break continue- all this useuseischeckrunrequesturlversionconnectionloopenginesc self",8.250625183366598
"summarize: def _convert_boolean_config_value(config, name, default=True):
        """"""

        """"""
        if name not in config:
            config[name] = default
        elif config[name] == ""yes"":
            config[name] = True
        elif config[name] == ""no"":
            config[name] = False
        else:
            raise ValueError(""Error in config file\nInvalid value for %s ""
                             ""parameter\nPossible values: yes, no"" % name)",Convert the named field to bool.,"s the a an of to for and or from in_.].().(_(([(( (( (:):), data value command' withnamekeypath that None associatedAddUpdate use is assert = not=",8.567732671986272
"summarize: def cylindrical_vert(script, radius=1.0, inside=True):
    """"""
    """"""
    if inside:
        function = 'sqrt(x^2+y^2)<={}'.format(radius)
    else:
        function = 'sqrt(x^2+y^2)>={}'.format(radius)
    vert_function(script, function=function)
    return None",Select all vertices within a cylindrical radius,"=_. the to allsid,'"""" Retrievesummarize Calculate None get this that of a an in with by:': between is andrself raise return value data sizedatafdzeslicies okiesficiency",8.623885951241965
"summarize: def add_section(self):
        """"""""""""
        sect = CodeBuilder(self.indent_amount)
        self.code.append(sect)
        return sect","Add a section, a sub-CodeBuilder.","s and the a an of to from for in_.._.__intfloatNoneFalseTruenpos os sys tf random datetime pd dfdfparams))) )())'])])])))])}))}}},}.].']..",6.699867069951905
"summarize: def dumps(self, obj, salt=None):
        """"""
        """"""
        payload = want_bytes(self.dump_payload(obj))
        rv = self.make_signer(salt).sign(payload)
        if self.is_text_serializer:
            rv = rv.decode('utf-8')
        return rv",Returns a signed string serialized with the internal serializer.    The return value can be either a byte or unicode string depending    on the format of the internal serializer.,"time to. thes_ an ifRetrieve None(_('( ( and a of with in, for Updatebuild-' all or is stream thatCalculateSetAdd through self notformat c' self file mography",23.37296693354092
"summarize: def difference(self, sig: Scope) -> Scope:
        """"""  """"""
        new = Scope(sig=self._hsig.values(), state=self.state)
        new -= sig
        return new",Create a new Set produce by a Set subtracted by another Set,"=_. to andsnameiddict the that with for'""""( ( all an of a', in or fromselfRetrieve None kwargs throughAddformat c-(_Setsummarize(' supermodeldataTrue",13.792868059790653
"summarize: def handle_ignored_message(
        self, state_scope, msgid, line, node, args, confidence
    ):  # pylint: disable=unused-argument
        """"""
        """"""
        if state_scope == MSG_STATE_SCOPE_MODULE:
            try:
                orig_line = self._suppression_mapping[(msgid, line)]
                self._ignored_msgs[(msgid, orig_line)].add(line)
            except KeyError:
                pass",Report an ignored message.,"=_ a. thesname to for and (((**' of with in, or on all Retrieve NoneCalculateAddRunsUpdate('format c-'""""Setcsvselfkey from ansummarizevaluesreplace get self index",6.774155298477827
"summarize: def extend_reservation(request, user_id, days=7):
    ''' 
    '''

    user = User.objects.get(id=int(user_id))
    cart = CartController.for_user(user)
    cart.extend_reservation(datetime.timedelta(days=days))

    return redirect(request.META[""HTTP_REFERER""])",Allows staff to extend the reservation on a given user's cart.,"s the a an of to for and or in_.._.__ Re Q res '])),- d x value values between by fit through'"""" """""""""""" summarizeRetrieve(",14.31421267705667
"summarize: def get_intervals(self, sort=False):
        """"""
        """"""
        for i in sorted(self.intervals) if sort else self.intervals:
            yield i",Give all the intervals or points.,"s the a an of to for and or from in_.._.__intstrNoneFalseTrue 10 unicode long daydaymonthyearcolumnsfieldskeysvaluesparams))) )())'])'))]))]),],'],']'].').).",8.264982227969563
"summarize: def relative_dir_walk(self, dir):
    '''
    '''
    result = []

    if S3URL.is_valid(dir):
      basepath = S3URL(dir).path
      for f in (f for f in self.s3walk(dir) if not f['is_dir']):
        result.append(os.path.relpath(S3URL(f['name']).path, basepath))
    else:
      for f in (f for f in self.local_walk(dir) if not os.path.isdir(f)):
        result.append(os.path.relpath(f, dir))

    return result",Generic version of directory walk. Return file list without base path    for comparison.,"=_ and a.s thename to in of', forRetrieve( ( 0 self or isreturn NoneCalculate through-A all from'""""Runs dirsummarizezesAdd='format c = += status",15.610613920431838
"summarize: def _find_jar(self, path0=None):
        """"""
        
        """"""
        jar_paths = [path0] if path0 else self._jar_paths()
        searched_paths = []
        for jp in jar_paths:
            searched_paths.append(jp)
            if os.path.exists(jp):
                return jp
        raise H2OStartupError(""Cannot start local server: h2o.jar not found. Paths searched:\n"" +
                              """".join(""    %s\n"" % s for s in searched_paths))",Return the location of an h2o.jar executable.,"((_(( thes _ for of allname to a or and, anRetrieveCalculate throughRuns get self- in.'""""= = use' withbuild status from thatreplace index on `Set Nonesummarize Add /",7.28811185078385
"summarize: def from_string(cls, epstr, name, distro=None):
        """"""
        """"""
        m = entry_point_pattern.match(epstr)
        if m:
            mod, obj, extras = m.group('modulename', 'objectname', 'extras')
            if extras is not None:
                extras = re.split(r',\s*', extras)
            return cls(name, mod, obj, extras, distro)
        else:
            raise BadEntryPoint(epstr)",Parse an entry point from the syntax in entry_points.txt,"times and or to a an the_ TrueFalseNone63218: of from for in is ==!= < <= /),)))())])],]",15.825117878524894
"summarize: def _prepare_regex_pattern(self, p):
        """"
        if isinstance(p.pattern, bytes):
            p = re.compile(p.pattern.decode(self.encoding), p.flags)
        return p",Recompile bytes regexes as unicode regexes.,"=_ a and thes to for all from CalculateRetrieveRuns None get this, or. of in anficiencylicies(('(_zes throughsummarizeAddUpdateparam notformatself''"""" rers vicmographySet",10.002744565829358
"summarize: def _get_session(self):
        """"""""""""
        if self.port in (465, ""465""):
            session = self._get_ssl()
        elif self.port in (587, ""587""):
            session = self._get_tls()

        try:
            session.login(self.from_, self._auth)
        except SMTPResponseException as e:
            raise MessageSendError(e.smtp_error.decode(""unicode_escape""))

        return session",Start session with email server.,times and or an a the to in from 1236NoneFalseTruedfrequestqueryfindgetforofbyfromtoidnameinfodebugwarningerror,19.598232176743668
"summarize: def is_checkmate(self):
        ''''''
        if not self.is_check():
            return False

        try:
            next(self.generate_legal_moves().__iter__())
            return False
        except StopIteration:
            return True",Checks if the current position is a checkmate.,"=_. thename to an all (((_ RetrieveUpdateAdd None get self a of, and'""""Runsbuildupdate or is in-s' from for modelBuildCalculatesummarize /format c notSet(' calling",6.7083955799391655
"summarize: def dict_to_object(item, object_name):
    """"""""""""
    fields = item.keys()
    values = item.values()
    return json.loads(json.dumps(item),
                      object_hook=lambda d:
                      namedtuple(object_name, fields)(*values))","Converts a python dict to a namedtuple, saving memory.","s the to for and a an of in_- from all any contains is ==!= >= < <= '])),. indexnameself %liciesRetrieve '"""" None ((",8.28583868022581
"summarize: def deregister_job(self, id, purge=None):
        """""" 
        """"""
        params = None
        if purge is not None:
            if not isinstance(purge, bool):
                raise nomad.api.exceptions.InvalidParameters(""purge is invalid ""
                        ""(expected type %s but got %s)""%(type(bool()), type(purge)))
            params = {""purge"": purge}
        return self.request(id, params=params, method=""delete"").json()","Deregisters a job, and stops all allocations part of it.","s to a the and or from for of in_.._.__ __df df pd pickle is ==!= < <=.,],'],']]])]))))",13.14707809951407
"summarize: def conv3x3(in_planes, out_planes, dilation=1):
    """"
    return nn.Conv2d(
        in_planes,
        out_planes,
        kernel_size=3,
        padding=dilation,
        dilation=dilation)",3x3 convolution with padding,"s the an a to from for and or in_.._.__().].'].').'),'))'])()) )))))])])) componentaYearprof Nb Rd"""":""""'Device G B A of( ( all not",6.17882220534593
"summarize: def dimension_size(x, axis):
  """"""""""""
  # Since tf.gather isn't ""constant-in, constant-out"", we must first check the
  # static shape or fallback to dynamic shape.
  s = tf.compat.dimension_value(
      tensorshape_util.with_rank_at_least(x.shape, np.abs(axis))[axis])
  if s is not None:
    return s
  return tf.shape(input=x)[axis]",Returns the size of a specific dimension.,"dirid_ a s the and of for ` Retrievemography((' ( to. in'-nameself all through or is from thatzesCalculate SetRunsokiesAdd Nonecreateformat self index,is raise",9.14584155840005
"summarize: def make_internal_signing_service(config, entity_id):
    """"""
    
    """"""

    _args = dict([(k, v) for k, v in config.items() if k in KJ_SPECS])
    _kj = init_key_jar(**_args)

    return InternalSigningService(entity_id, _kj)",Given configuration initiate an InternalSigningService instance,"time to a thes_ and Retrieve( ( on of all., for Calculatesummarizeficiency throughAddRunsUpdatedir2'"""" NoneTakemographySetzes representing ioctlkwargs', in-'self this get self",13.91634442356139
"summarize: def _insert_continuation_prompt(self, cursor):
        """""" 
        """"""
        super(FrontendWidget, self)._insert_continuation_prompt(cursor)
        cursor.insertText(' ' * self._input_splitter.indent_spaces)",Reimplemented for auto-indentation.,"=_ a.s the to in: of for all data,- Retrieve Calculate NonezesSetrers((' ( `None6 raise return load and' an'"""" through or is ==""summarizeficiency vic",5.996644620089268
"summarize: def _parse_validators(valids):
    """"""
    """"""

    outvals = []

    for val in valids:
        if isinstance(val, str):
            args = []
        elif len(val) > 1:
            args = val[1:]
            val = val[0]
        else:
            raise ValidationError(""You must pass either an n-tuple or a string to define a validator"", validator=val)

        name = ""validate_%s"" % str(val)
        outvals.append((name, args))

    return outvals","Parse a list of validator names or n-tuples, checking for errors.","=_. the to andsid, all or with if((' ( valid an of a- in'namekey argsRetrieve Calculatereplace = for None getAdd """"""""""""Setformat selfself :): from onThe that",13.761374040146778
"summarize: def missing_schema(self,html,song_name):
		'''
		
		'''
		#html=self.get_html_response(url)
		soup=BeautifulSoup(html)
		name=' '.join(song_name)
		print '%s not found'%name
		print ""But you can download any of the following songs :""
		a_list=soup.findAll('a','touch')
		for x in xrange(len(a_list)-1):
			r=a_list[x]
			p=str(r)
			q=re.sub(r'<a.*/>|<span.*"">|</span>|</a>|<a.*html"">|<font.*"">|</font>','',p)
			print q",It will print the list of songs that can be downloaded,"=_ a. thesname for of in to all ((('RetrieveRuns summarize NoneSetdirpath and'""""AddCalculate through or on,-' an kwargsformat cself:% model",9.806136966900716
"summarize: def _convert_annotations(annotations):
    """"""
    """"""
    pb_annotations = []
    for value, ts in annotations.items():
        pb_annotations.append(zipkin_pb2.Annotation(
            timestamp=int(ts * 1000 * 1000),
            value=value,
        ))
    return pb_annotations",Converts py_zipkin's annotations dict to protobuf.,"=_ a ans thename to for. of in and else (((**end'""""Retrieve summarizeAddSet None get this, all from- with by or on: notzesRunsCalculateUpdatetimeself",5.641504823998774
"summarize: def find_magic(self, magic_name, magic_kind='line'):
        """"""""""""
        return self.magics_manager.magics[magic_kind].get(magic_name)",Find and return a magic of the given type by name.,"s the a an of to for and or from with in_.().].'].').'),'))'])()) )))))])])) componentaYearMonthpredicted Nbpreparedkerasmanip Expected7 easy grabjoin by=-(",10.952147164526234
"summarize: def read(*pathcomponents):
    """"""""""""
    with open(join(abspath(dirname(__file__)), *pathcomponents)) as thefile:
        return thefile.read()",Read the contents of a file located relative to setup.py,"timefile_ a. thes to all None of in- summarizeRetrieve( ( on'"""" Runs sivelyCalculate through anself', and or from foriniterersimlaneAddzesficiencyUpdateBuildSet associated fit=",11.855372760894108
"summarize: def s3_keys_from_cmdline(opt):
    ''''''
    if opt.access_key != None and opt.secret_key != None:
      keys = (opt.access_key, opt.secret_key)
      debug(""read S3 keys from commandline"")
      return keys
    else:
      return None","Retrieve S3 access keys from the command line, or None if not present.","=_. thename to not allsidurlquerymethod method value data n'""""(('RegisterRetrievedirkey in a and of,' from- or can for NoneTrue asAddkwargs', (:Create",21.061589662069355
"summarize: def parser_functions(self) -> List['ParserFunction']:
        """"""""""""
        _lststr = self._lststr
        _type_to_spans = self._type_to_spans
        return [
            ParserFunction(_lststr, _type_to_spans, span, 'ParserFunction')
            for span in self._subspans('ParserFunction')]",Return a list of parser function objects.,s and in to a an the_ of from for or this all any sum sorted iter count num n mmpl l s res ModelContextManager ca workingworkblock1,5.422971358046563
"summarize: def cleanup(self):
        """"""
        
        """"""
        for k in self._children:
            self._children[k].cleanup()

        if self._cleanup:
            self.remove(True)",Clean up children and remove the directory.,"=sing to _. thenamekey (( and of, in a 'None = or from'- fordirAdd None get selfmodelformat c that kwargsSet('(_ calling """"""""""""build all by) not",8.155577364821406
"summarize: def _quoteattr(self, attr):
        """"""""""""
        attr = xml_safe(attr)
        if isinstance(attr, unicode) and not UNICODE_STRINGS:
            attr = attr.encode(self.encoding)
        return saxutils.quoteattr(attr)",Escape an XML attribute. Value can be unicode.,"s and for of to a an the_.].'].').'),),)),)])))) )())])'])'))]))]),},}))})):))).)000806012q534environmodulesnan [] {} {",4.1910816965857505
"summarize: def read(self, fp, **kwargs):
        """"""""""""
        nbs = fp.read()
        if not py3compat.PY3 and not isinstance(nbs, unicode):
            nbs = py3compat.str_to_unicode(nbs)
        return self.reads(nbs, **kwargs)",Read a notebook from a file like object,"s the an of to for and or from in a_.().(),()))))),)),)])})])) defaults dict ('( (end'"""" None False 0 self not into withThename' all that",7.830451075885065
"summarize: def read(self):
        """"""""""""
        packet = self.packet
        with self.__read_lock:
            buffer = self.__buffer
            while len(buffer) < packet:
                buffer += self._read_data()
            length = self.__unpack(buffer[:packet])[0] + packet
            while len(buffer) < length:
                buffer += self._read_data()
            term, self.__buffer = decode(buffer[packet:])
        return term",Read incoming message.,"=_ a. thename to and ( of- allparam Retrieve RunsCalculatesummarize(_((' super get self thatselfisreturn from,''""""zesrersokiesimlane precursormography NoneUpdateAddSet Returns through",13.56062656822257
"summarize: def _hat_integral(self, x):
    """"""
    """"""
    x = tf.cast(x, self.power.dtype)
    t = self.power - 1.
    return tf.exp((-t) * tf.math.log1p(x) - tf.math.log(t))","Integral of the `hat` function, used for sampling.",s the a an of to and or from for with in_.2TrueFalseNonefloatintstrlistnameslabelssidusername username rolesrolesusersobjectsquerypathnameinfodebugwarningwarnerrormessagewru u self np,9.992643595685827
"summarize: def splat(f: Callable[..., A]) -> Callable[[Iterable], A]:
    """"""
    """"""

    def splatted(args):
        return f(*args)

    return splatted",Convert a function taking multiple arguments into a function taking a single iterable argument.,s the a an for and or from to of in_.236NoneFalseTrueforcetargeteventtask pluginNAMEcommandcmdquerysendpostsubcompilefindreplacestriplowerupperitemskeysvalues [] {} {{([(,18.68790898324729
"summarize: def set( self, **kw):
      '''
      
      '''
      self.args = kw
      log.debug( self.args )",Store keyword args to be written to output file.,"=_. the to a that if allsname- Retrieve summarize None('( ( an of and in for through or from', is'""""param on byself =AddRunsCalculatereplaceformat self notkwargs",5.947269341441749
